scientificName,japaneseName,order,family
Amblyeleotris ogasawarensis,Minamidatehaze,Gobiiformes,Gobiidae
Dasyscopelus asper,Arahadaka,Myctophiformes,Myctophidae
Gobiodon erythrospilus,Shuobikobanhaze,Gobiiformes,Gobiidae
Diaphus phillipsi,Chigirehadaka,Myctophiformes,Myctophidae
Cabillus pexus,Kushiyorimehaze,Gobiiformes,Gobiidae
Pleurosicya boldinghi,Sukerokumitakehaze,Gobiiformes,Gobiidae
Triphoturus nigrescens,Tsumarihadaka,Myctophiformes,Myctophidae
Diaphus lucidus,Kammurihadaka,Myctophiformes,Myctophidae
Notacanthus abbotti,Kitsunesokogisu,Notacanthiformes,Notacanthidae
Callogobius dorsomaculatus,Seboshifutasujihaze,Gobiiformes,Gobiidae
Diogenichthys atlanticus,Itahadaka,Myctophiformes,Myctophidae
Lipogenys gillii,Tanukisokogisu,Notacanthiformes,Notacanthidae
Polyacanthonotus challengeri,Sokogisu,Notacanthiformes,Notacanthidae
Diaphus effulgens,Tamahadaka,Myctophiformes,Myctophidae
Priolepis goldshmidtae,Matsuyoibenkeihaze,Gobiiformes,Gobiidae
Lampanyctus turneri,Katahadaka,Myctophiformes,Myctophidae
Notacanthus chemnitzii,Kurosokogisu,Notacanthiformes,Notacanthidae
Ptereleotris brachyptera,Kohirekuroyurihaze,Gobiiformes,Gobiidae
Halosauropsis macrochir,Kuroobitokagegisu,Notacanthiformes,Halosauridae
Lubricogobius dinah,Nakamotoirowakehaze,Gobiiformes,Gobiidae
Diaphus signatus,Bohadaka,Myctophiformes,Myctophidae
Aldrovandia affinis,Tokagegisu,Notacanthiformes,Halosauridae
Asterropteryx spinosa,Madarahoshihaze,Gobiiformes,Gobiidae
Diaphus anderseni,Futatsuboshihadaka,Myctophiformes,Myctophidae
Favonigobius opalescens,Tsumajirohimehaze,Gobiiformes,Gobiidae
Diaphus schmidti,Takahadaka,Myctophiformes,Myctophidae
Oplopomus caninoides,Usugeshohaze,Gobiiformes,Gobiidae
Bolinichthys distofax,Futomikazukihadaka,Myctophiformes,Myctophidae
Pleurosicya micheli,Akasujiumitakehaze,Gobiiformes,Gobiidae
Diaphus jenseni,Chibihadaka,Myctophiformes,Myctophidae
Dotsugobius bleekeri,Kumanokohaze,Gobiiformes,Gobiidae
Vanderhorstia papilio,Yanosusobikihaze,Gobiiformes,Gobiidae
Kelloggella cardinalis,Akahirehadakahaze,Gobiiformes,Gobiidae
Neoscopelus porosus,Shichigoiwashi,Myctophiformes,Neoscopelidae
Luposicya lupus,Yagihaze,Gobiiformes,Gobiidae
Cristatogobius nonatoae,Kurotosakahaze,Gobiiformes,Gobiidae
Acanthonus armatus,Hanatogeashiro,Ophidiiformes,Acanthonidae
Neoscopelus macrolepidotus,Sotoriiwashi,Myctophiformes,Neoscopelidae
Xyelacyba myersi,Haridashiashiro,Ophidiiformes,Acanthonidae
Neoscopelus microchir,Sangoiwashi,Myctophiformes,Neoscopelidae
Amblyeleotris diagonalis,Hachimakidatehaze,Gobiiformes,Gobiidae
Scopelengys tristis,Kurogoiwashi,Myctophiformes,Neoscopelidae
Valenciennea longipinnis,Sazanamihaze,Gobiiformes,Gobiidae
Homostolus acer,Itohikiitachiuo,Ophidiiformes,Ophidiidae
Cabillus lacertops,Mikagehaze,Gobiiformes,Gobiidae
Porogadus miles,Kowatogetaraitachiuo,Ophidiiformes,Ophidiidae
Eviota fasciola,Toranokoisohaze,Gobiiformes,Gobiidae
Epetriodus freddyi,Kurosodeitachiuo,Ophidiiformes,Ophidiidae
Neobythites macrops,Seboshiitachiuo,Ophidiiformes,Ophidiidae
Amblyeleotris randalli,Nichirindatehaze,Gobiiformes,Gobiidae
Bassozetus zenkevitchi,Fukumenitachiuo,Ophidiiformes,Ophidiidae
Porogadus dracocephalus,,Ophidiiformes,Ophidiidae
Ctenogobiops feroculus,Himeshinobihaze,Gobiiformes,Gobiidae
Eretmichthys pinnatus,Furisodeashiro,Ophidiiformes,Ophidiidae
Fusigobius pallidus,Kaperasankakuhaze,Gobiiformes,Gobiidae
Eviota flavipinnata,Kibireisohaze,Gobiiformes,Gobiidae
Trimma winchi,Fujinabenihaze,Gobiiformes,Gobiidae
Penopus japonicus,Tongariitachiuo,Ophidiiformes,Ophidiidae
Oplopomus oplopomus,Keshohaze,Gobiiformes,Gobiidae
Typhlonus nasus,Bakeashiro,Ophidiiformes,Ophidiidae
Eviota korechika,Shiboriisohaze,Gobiiformes,Gobiidae
Glyptophidium lucidum,Sukashichoman,Ophidiiformes,Ophidiidae
Barathrites iris,Kogashiraashiro,Ophidiiformes,Ophidiidae
Hetereleotris poecila,Shirozukinhaze,Gobiiformes,Gobiidae
Eviota nigrispina,Nadeshikoisohaze,Gobiiformes,Gobiidae
Glyptophidium japonicum,Shirochoman,Ophidiiformes,Ophidiidae
Monomitopus kumae,Kumaitachiuo,Ophidiiformes,Ophidiidae
Trimmatom macropodus,Ashinagashimaisohaze,Gobiiformes,Gobiidae
Pycnocraspedum microlepis,Himeitachiuo,Ophidiiformes,Ophidiidae
Bassozetus robustus,Ishifukumenitachiuo,Ophidiiformes,Ophidiidae
Amblygobius linki,Wakakesarasahaze,Gobiiformes,Gobiidae
Bassozetus compressus,Orinfukumenitachiuo,Ophidiiformes,Ophidiidae
Eviota partimacula,Omonagafutaboshiisohaze,Gobiiformes,Gobiidae
Pycnocraspedum fulvum,Ohimeitachiuo,Ophidiiformes,Ophidiidae
Acentrogobius viridipunctatus,Kirarahaze,Gobiiformes,Gobiidae
Brotulotaenia nielseni,Karasuobiashiro,Ophidiiformes,Ophidiidae
Vanderhorstia hiramatsui,Kuroerikanokohaze,Gobiiformes,Gobiidae
Spectrunculus grandis,Sokobozu,Ophidiiformes,Ophidiidae
Mangarinus waterousi,Uchiwahaze,Gobiiformes,Gobiidae
Hetereleotris exilis,Sasagakihaze,Gobiiformes,Gobiidae
Alcockia rostrata,Ryujinashiro,Ophidiiformes,Ophidiidae
Parachaeturichthys polynema,Higehaze,Gobiiformes,Gobiidae
Ophidion asiro,Ashiro,Ophidiiformes,Ophidiidae
Istigobius campbelli,Kutsuwahaze,Gobiiformes,Gobiidae
Neobythites bimaculatus,Renseiitachiuo,Ophidiiformes,Ophidiidae
Parioglossus caeruleolineatus,Kujakuhaze,Gobiiformes,Gobiidae
Porogadus trichiurus,,Ophidiiformes,Ophidiidae
Abyssobrotula galatheae,Yominoashiro,Ophidiiformes,Ophidiidae
Dicrolene quinquarius,Momoitachiuo,Ophidiiformes,Ophidiidae
