scientificName,japaneseName,order,family
Parioglossus raoi,Miyarabihaze,Gobiiformes,Gobiidae
Stonogobiops yasha,Yashahaze,Gobiiformes,Gobiidae
Ancistrogobius yanoi,Asabanohokagihaze,Gobiiformes,Gobiidae
Gobiodon okinawae,Kiirosangohaze,Gobiiformes,Gobiidae
Vanderhorstia fulvopelvis,Himeyatsushihaze,Gobiiformes,Gobiidae
Eviota prasites,Aoisohaze,Gobiiformes,Gobiidae
Vanderhorstia kizakura,Kizakurahaze,Gobiiformes,Gobiidae
Parioglossus palustris,Boruneohaze,Gobiiformes,Gobiidae
Favonigobius gymnauchen,Himehaze,Gobiiformes,Gobiidae
Ctenogobiops mitodes,Aohigeshinobihaze,Gobiiformes,Gobiidae
Trimma sheppardi,Ningyobenihaze,Gobiiformes,Gobiidae
Cryptocentrus albidorsus,Shiroobihaze,Gobiiformes,Gobiidae
Trimma grammistes,Ichimonjihaze,Gobiiformes,Gobiidae
Istigobius decoratus,Hoshikazarihaze,Gobiiformes,Gobiidae
Amblyeleotris fontanesii,Nyudodatehaze,Gobiiformes,Gobiidae
